Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-11-10 00:00:00-05:00,0.29065270184041453,0.2920280396938324,0.2865267156054779,0.2920280396938324,521016000,0.0,0.0
2010-11-11 00:00:00-05:00,0.285151442328847,0.2938618536140228,0.28125468729544084,0.2890482246875763,1089980000,0.0,0.0
2010-11-12 00:00:00-05:00,0.3000507545161785,0.31357481783818375,0.2986754167799357,0.3039475083351135,2142560000,0.0,0.0
2010-11-15 00:00:00-05:00,0.30532292262245936,0.30967811433697845,0.2995923928268702,0.30028003454208374,733548000,0.0,0.0
2010-11-16 00:00:00-05:00,0.29523710499267475,0.29936309094915103,0.29088191429297566,0.29134035110473633,739356000,0.0,0.0
2010-11-17 00:00:00-05:00,0.29111116432920064,0.2995923696302532,0.28836051570535737,0.29615405201911926,551764000,0.0,0.0
2010-11-18 00:00:00-05:00,0.30005076398935543,0.30830273601671343,0.30005076398935543,0.3053228557109833,993120000,0.0,0.0
2010-11-19 00:00:00-05:00,0.3046351364885037,0.31632542370820715,0.30417669974613143,0.31517931818962097,716484000,0.0,0.0
2010-11-22 00:00:00-05:00,0.3131164353194658,0.3172423945928815,0.3103657593700962,0.3154086470603943,462668000,0.0,0.0
2010-11-23 00:00:00-05:00,0.3117410700549562,0.31495015528120485,0.30578130912013224,0.3080735206604004,457832000,0.0,0.0
2010-11-24 00:00:00-05:00,0.3112825771035475,0.31678387287846044,0.3110533450607128,0.3156377673149109,397784000,0.0,0.0
2010-11-26 00:00:00-05:00,0.3154086032644318,0.31724235054229466,0.31174105405807495,0.31174105405807495,143104000,0.0,0.0
2010-11-29 00:00:00-05:00,0.3103656640814346,0.31632542370820715,0.3089903538543178,0.31517931818962097,468192000,0.0,0.0
2010-11-30 00:00:00-05:00,0.31036572116349487,0.3135748336009386,0.30623973507267643,0.3119702637195587,720936000,0.0,0.0
2010-12-01 00:00:00-05:00,0.31815931363212896,0.32778659802204924,0.3177008767231463,0.3257236182689667,626536000,0.0,0.0
2010-12-02 00:00:00-05:00,0.32572345950157305,0.33168321838934545,0.3254942274961558,0.32962021231651306,529316000,0.0,0.0
2010-12-03 00:00:00-05:00,0.32801581243768935,0.33901843428611755,0.32732814344866523,0.33901843428611755,606044000,0.0,0.0
2010-12-06 00:00:00-05:00,0.34016454016784076,0.340852209156882,0.33122492528626285,0.3326002359390259,438424000,0.0,0.0
2010-12-07 00:00:00-05:00,0.3403937164215434,0.3513963364649584,0.3397060475453334,0.3433735966682434,1026812000,0.0,0.0
2010-12-08 00:00:00-05:00,0.342915213292295,0.3500210532528578,0.3403937694617384,0.34635353088378906,613252000,0.0,0.0
2010-12-09 00:00:00-05:00,0.33810148594662653,0.3429151404827859,0.33328783141046714,0.3406229019165039,942408000,0.0,0.0
2010-12-10 00:00:00-05:00,0.3406229015691911,0.3458949928831059,0.3397060280038639,0.34268590807914734,451900000,0.0,0.0
2010-12-13 00:00:00-05:00,0.344061208869595,0.3447488503072195,0.3330585633132559,0.3339754641056061,609108000,0.0,0.0
2010-12-14 00:00:00-05:00,0.340393733630238,0.3465826991783828,0.33397553600332935,0.33443397283554077,755160000,0.0,0.0
2010-12-15 00:00:00-05:00,0.33512164635277114,0.3392476325500182,0.3266404418763623,0.32709890604019165,624176000,0.0,0.0
2010-12-16 00:00:00-05:00,0.330537235715565,0.33237101046371764,0.32664045412874637,0.32755735516548157,631872000,0.0,0.0
2010-12-17 00:00:00-05:00,0.32778661123486386,0.3312249565041333,0.3238898563634545,0.3293911814689636,593156000,0.0,0.0
2010-12-20 00:00:00-05:00,0.3305372180480503,0.3321417606199255,0.32778654241018856,0.3280157744884491,344088000,0.0,0.0
2010-12-21 00:00:00-05:00,0.3312248594240229,0.34085214138031006,0.3309956273648175,0.34085214138031006,466952000,0.0,0.0
2010-12-22 00:00:00-05:00,0.3401644865530369,0.34497814139230515,0.3369554015437348,0.344519704580307,477988000,0.0,0.0
2010-12-23 00:00:00-05:00,0.3445197527031787,0.3445197527031787,0.3406229709436003,0.34199830889701843,273784000,0.0,0.0
2010-12-27 00:00:00-05:00,0.34108136795157407,0.3463534593006443,0.33489237570574915,0.34383201599121094,255500000,0.0,0.0
