Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,rsi_21,macd,macd_signal,macd_diff,roc_12,roc_25,stoch_k,stoch_d,williams_r,ao,atr_14,bb_high,bb_low,bb_mid,bb_width,bb_pct,kc_high,kc_low,kc_mid,volatility_20,volatility_50,obv,volume_ma_10,volume_ma_20,volume_roc,adi,cmf,force_index,vwap,sma_10,sma_20,sma_50,ema_12,ema_26,adx,adx_pos,adx_neg,label
2011-01-24 00:00:00-05:00,0.532710522042697,0.5741996499927582,0.5267508148729166,0.566864550113678,2056900000,0.0,0.0,2.699651428727521,0.455300889507834,0.3964729159758638,0.2903563789093022,5.206758602039226,5.326563290783923,1.3050429858738293,1.0377145467487725,1.3050429858738293,0.46309506513681,-0.4965052565007353,-0.635637111937573,-0.7563073669768383,-0.6922258870903273,6.159845247797204,0.950306641467312,-0.6885714775470777,-0.6997240275102001,-0.694034335694015,2.651969714391548,1.5607138318273253,-0.0362541204244155,5.8324648534118815,4.150696035531462,0.1825433733585013,-0.0308812100568434,3.097339029454844,1.3794961487932065,-0.5706469796078649,-0.6591453564765996,-0.6922258870903273,-0.7207801641642367,-0.6689100530528566,-0.6919917931931606,3.163831830979057,2.9673665534733766,-2.0119001311457696,0
2011-01-25 00:00:00-05:00,0.5643430102576918,0.5703027713543847,0.545776112672428,0.5494436621665955,1086856000,0.0,0.0,2.16859598346142,0.4570425819217665,0.4138858094091613,0.2355675781880996,2.647290194722708,4.846800138868952,1.0277927157270006,1.1011654860889546,1.0277927157270006,0.4624675786244318,-0.4970793547923083,-0.6314522242333312,-0.7500926046958513,-0.6871019293623315,5.928175242382383,0.6943551445296969,-0.6830954274776556,-0.6945694299550544,-0.6887135692441942,2.778607774426074,1.6013964453595235,-0.0870655460462129,5.559162921539256,4.329383446756906,-0.7328559273233076,-0.0763220932574775,2.8065255961899536,1.0677727273251976,-0.5647877619194145,-0.6553418437837188,-0.6871019293623315,-0.7181624706818052,-0.664993452372835,-0.6881306089654404,3.2718756978003656,2.549322956586294,-2.081017032919989,2
2011-01-26 00:00:00-05:00,0.5551741400460767,0.5730534225696315,0.5512773859539096,0.5625092387199402,1074660000,0.0,0.0,2.2818841860618795,0.4634436574594503,0.4291630946410121,0.205527901634301,2.587986664477912,5.206118994231085,1.196575438536567,1.264157692857676,1.1965754385365668,0.4657982363691664,-0.4985016648646,-0.6275916736805339,-0.7427086714604105,-0.6816180942122412,5.628776655995748,0.7289849451763352,-0.6774069818224943,-0.6893421220919319,-0.6832480708030122,2.7390711944574453,1.562359872772269,-0.0368242936091644,4.885094607572464,4.518612124775565,-0.3377974542090193,-0.0742978182899147,2.7391110399545604,0.9996381581328944,-0.5589548626645862,-0.6505248148553393,-0.6816180942122412,-0.7155632110212392,-0.6606795966472784,-0.6840716045625259,3.374970219002197,2.270644894705179,-2.143169359364756,2
2011-01-27 00:00:00-05:00,0.5705318703573092,0.5719071532116365,0.5501311764355755,0.5609045624732971,657396000,0.0,0.0,2.233674057478864,0.4598907727074048,0.4406372936397733,0.1520333138766684,2.009662860160632,4.674430479841462,1.1159981043547047,1.1964510017160777,1.1159981043547045,0.4854315741089218,-0.501600806422883,-0.6253224356377616,-0.7335261273557341,-0.6761742484956672,5.190158755512625,0.6392449270881932,-0.6717314690732976,-0.6841285721410187,-0.6777959061188654,2.7462254941880544,1.551319951761016,-0.0675581055935184,3.742238009481458,4.621724129634674,-0.743292222838867,-0.0747105528131658,2.6879021413933155,0.8501089380187471,-0.5555362158101388,-0.6492493843499857,-0.6761742484956672,-0.7129432145469066,-0.6571522046767035,-0.6803726902201908,3.462323448545904,1.938211542063867,-2.151301545998203,2
2011-01-28 00:00:00-05:00,0.5622802545613599,0.5716783090207007,0.5317937694784827,0.5446301698684692,1094796000,0.0,0.0,1.756267608500275,0.4350486572328948,0.4445891569066659,0.0462233941726074,1.8172266359348148,4.177531446988202,0.6724834527967534,1.0691964876998736,0.6724834527967534,0.4878856269255314,-0.486916682258194,-0.6256647360252231,-0.7221954671921984,-0.6711645358943351,4.567764126041361,0.4176565349919605,-0.6659045055739231,-0.6797325231561361,-0.6726617646767379,2.856848956255836,1.549441172380437,-0.1187407328459247,3.083011796412995,4.819530429282557,0.4368316812946068,-0.0979793374254632,2.5201728675465622,0.6207542695416728,-0.5504844864548988,-0.6488280242402171,-0.6711645358943351,-0.7103969521616544,-0.65541284362713,-0.6775504296249992,3.415853650289057,1.3914286427263385,-1.5426821993107602,2
2011-01-31 00:00:00-05:00,0.5455469626482046,0.5558618885692626,0.5366073201061509,0.5482975840568542,750160000,0.0,0.0,1.7961454279774478,0.4122039421239493,0.4429434621005281,-0.0325124122786994,0.0966732460692827,4.349249091478481,0.7004884683608436,0.8915222391344022,0.7004884683608439,0.4559265515076799,-0.4932886141945246,-0.6268642626994338,-0.7101603724122427,-0.6662976352715124,3.904607729101399,0.4043211241706951,-0.6609215789390812,-0.6749021781642982,-0.6677523408432359,2.8696809253488507,1.550313954700603,-0.0836701263953484,2.734865011819831,4.896672281134353,-1.0441968439282934,-0.0883910083229945,2.450631073799882,0.5483269234447823,-0.5472057592899134,-0.6484522217768086,-0.6662976352715124,-0.7078622131245865,-0.6536604373279896,-0.6748014166659037,3.37270312333627,1.1522083289333804,-1.6217918756105187,2
2011-02-01 00:00:00-05:00,0.5531110561460884,0.5650305203375194,0.5494435076831018,0.5609045624732971,654104000,0.0,0.0,1.9306811801923127,0.3994301433023038,0.4389389314152168,-0.0656920314644049,0.3540883329482234,4.564993828320901,1.0186313395946942,0.8566501949082499,1.018631339594694,0.4251343509576257,-0.5016509168671379,-0.6285060025392558,-0.6974392795988467,-0.6613564744993985,3.2178358696758007,0.5108121510593416,-0.6560402319245353,-0.6699558888302969,-0.6628391082802104,2.869055060168636,1.5438163539277203,-0.0530902181601083,2.257355675291661,4.861563956302141,-0.7295826863669587,-0.070030375807803,2.4665363295516904,0.5194181871778204,-0.5441573904737517,-0.6468237691118129,-0.6613564744993985,-0.7052929109336663,-0.6512129160219208,-0.6717891829085034,3.35091389555498,1.2779214842400846,-1.688435337206554,0
2011-02-02 00:00:00-05:00,0.557695623441837,0.5998723597848513,0.557695623441837,0.586348295211792,1606616000,0.0,0.0,2.174747566988793,0.4065325814897755,0.4372298642355305,-0.0334038143638561,0.8057606108549615,5.185385626625486,0.9732933222632628,0.9643856742327884,0.9732933222632628,0.4078664769902411,-0.4847402138015485,-0.6310664896954037,-0.6821843568477207,-0.6557526799610466,2.406889259278246,0.8541146974554388,-0.6499473149886699,-0.6650528304834199,-0.6573221915425833,2.8541557678200085,1.5634438891263578,0.0220204215076944,2.425713342897267,5.066876642082604,0.4554493804435509,-0.0356559123390815,2.4520352583661373,0.6916255575860769,-0.5357285526543157,-0.6432138386610065,-0.6557526799610466,-0.7025669136171973,-0.6471949215043391,-0.6680578659270835,3.3871853504384064,1.9637276895844904,-1.8406534229843463,0
2011-02-03 00:00:00-05:00,0.5872650962847762,0.5872650962847762,0.5627383864874812,0.5753455758094788,1030776000,0.0,0.0,1.8604774913418825,0.3955092026658226,0.4335429743875406,-0.0612240639753529,0.8655188708625318,4.938848312886357,0.6150088465160048,0.9337710270196946,0.615008846516005,0.3876433937061445,-0.4861546227136606,-0.634783674469221,-0.6676639516742456,-0.6511142740476951,1.6183596173119266,0.6961002040485448,-0.6452746676691179,-0.6600456251930161,-0.6524870394894504,2.80684781647124,1.5882478922157368,-0.0261692172822959,2.3924998582271377,4.981452919011573,0.5522625069178072,-0.0339320514357298,2.2151283170666574,0.5240031429365061,-0.5307813282002243,-0.6401733032797882,-0.6511142740476951,-0.6999538294141202,-0.644637034249756,-0.6650103865668516,3.420865987115874,1.6264306858763815,-1.9192326958705068,0
2011-02-04 00:00:00-05:00,0.5833685569203382,0.5929958150099962,0.5810763448060414,0.5884113907814026,872900000,0.0,0.0,1.989656262509345,0.3926106090177142,0.4299835149980404,-0.0594316145206564,1.5286506832209217,5.187628743975868,1.0404744515410864,0.9415941683935388,1.0404744515410862,0.3852368598265757,-0.4941368849792262,-0.634283440706268,-0.6603588670608435,-0.6474926576341722,1.3229392377094795,0.8898646622250832,-0.6422272865930745,-0.6550934372463072,-0.6485164591616148,2.112919573826433,1.552269002684859,0.0146395866671388,2.447554693863992,4.418234951469284,-0.4702167463770881,-0.0219167055367393,1.7189122132382064,0.517638072945225,-0.5263751432292982,-0.6362445077997109,-0.6474926576341722,-0.697135659393174,-0.6414728408705982,-0.6617048037678734,3.460487161408364,1.5949427154851417,-1.973181962939596,0
