date,action,shares,price,commission,portfolio_value,pnl
2022-02-22 00:00:00-05:00,BUY,428,23.346078872680664,12.490152196884155,100000.0,
2022-02-23 00:00:00-05:00,STOP_LOSS,428,22.34496116638184,11.954554224014284,99547.0769152832,-452.9230847167928
2022-02-24 00:00:00-05:00,BUY,419,23.703407287597656,12.414659566879273,99547.0769152832,0.0
2022-03-04 00:00:00-05:00,STOP_LOSS,419,22.89683151245117,11.9922155046463,99184.7147904253,-362.3621248579002
2022-03-07 00:00:00-05:00,BUY,465,21.31553840637207,12.389656698703766,99184.7147904253,0.0
2022-03-09 00:00:00-05:00,TAKE_PROFIT,465,22.97470092773437,13.354044914245604,99930.48166124582,745.7668708205165
2022-03-10 00:00:00-05:00,BUY,441,22.61930084228516,12.468889589309695,99930.48166124582,0.0
2022-03-11 00:00:00-05:00,STOP_LOSS,441,22.0622615814209,12.16182169675827,99660.1966359186,-270.28502532721905
2022-03-14 00:00:00-04:00,BUY,468,21.293577194213867,12.456742658615113,99660.1966359186,0.0
2022-03-15 00:00:00-04:00,TAKE_PROFIT,468,22.933767318725582,13.416253881454466,100401.93261765002,741.7359817314136
2022-03-16 00:00:00-04:00,BUY,410,24.45416831970215,12.532761263847352,100401.93261765002,0.0
2022-03-18 00:00:00-04:00,TAKE_PROFIT,410,26.407825469970703,13.534010553359986,101176.86527744292,774.932659792903
2022-03-21 00:00:00-04:00,BUY,379,26.688344955444336,12.643603422641755,101176.86527744292,0.0
2022-03-23 00:00:00-04:00,STOP_LOSS,379,25.590219497680664,12.123366487026216,100735.90875904083,-440.9565184020903
2022-03-24 00:00:00-04:00,BUY,358,28.101926803588867,12.575612244606019,100735.90875904083,0.0
2022-03-31 00:00:00-04:00,STOP_LOSS,358,27.239404678344727,12.189633593559265,100402.36059236526,-333.5481666755659
2022-04-19 00:00:00-04:00,BUY,453,22.16008949279785,12.548150675296784,100402.36059236526,0.0
2022-04-20 00:00:00-04:00,STOP_LOSS,453,21.445310592651367,12.143407123088837,100053.87419280052,-348.48639956474653
2022-04-21 00:00:00-04:00,BUY,496,20.14853286743164,12.492090377807617,100053.87419280052,0.0
2022-04-22 00:00:00-04:00,STOP_LOSS,496,19.481674194335938,12.078638000488281,99698.54156256675,-355.3326302337664
2022-06-23 00:00:00-04:00,BUY,615,16.200714111328125,12.454298973083496,99698.54156256675,0.0
2022-06-24 00:00:00-04:00,TAKE_PROFIT,615,17.100366592407227,13.145906817913056,100226.2276326394,527.6860700726538
2022-06-27 00:00:00-04:00,BUY,595,16.843751907348633,12.527540481090545,100226.2276326394,0.0
2022-06-28 00:00:00-04:00,STOP_LOSS,595,15.95808219909668,11.868823635578156,99674.85779211282,-551.3698405265895
2022-06-29 00:00:00-04:00,BUY,642,15.51873779296875,12.453787078857422,99674.85779211282,0.0
2022-06-30 00:00:00-04:00,STOP_LOSS,642,15.136313438415527,12.14689153432846,99404.74067787646,-270.11711423636007
2022-07-01 00:00:00-04:00,BUY,685,14.501262664794922,12.416706156730653,99404.74067787646,0.0
2022-07-07 00:00:00-04:00,TAKE_PROFIT,685,15.83426570892334,13.55809001326561,100291.87296693443,887.1322890579759
2022-07-08 00:00:00-04:00,BUY,634,15.814295768737791,12.532829396724699,100291.87296693443,0.0
2022-07-11 00:00:00-04:00,STOP_LOSS,634,15.129323959350586,11.98998923778534,99833.07802114844,-458.79494578599406
