date,cash,position,position_value,portfolio_value,borrow_cost,daily_return
2020-04-17 00:00:00-04:00,100000.0,0,0.0,100000.0,0,
2020-04-20 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-04-21 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-04-22 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-04-23 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-04-24 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-04-27 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-04-28 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-04-29 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-04-30 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-01 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-04 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-05 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-06 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-07 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-08 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-11 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-12 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-13 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-14 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-15 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-18 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-19 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-20 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-21 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-22 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-26 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-27 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-28 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-05-29 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-06-01 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-06-02 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
2020-06-03 00:00:00-04:00,100000.0,0,0.0,100000.0,0,0.0
